@relation sonar

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric

@data
0.020000,0.037100,0.042800,0.020700,0.095400,0.098600,0.153900,0.160100,0.310900,0.211100,0.160900,0.158200,0.223800,0.064500,0.066000,0.227300,0.310000,0.299900,0.507800,0.479700,0.578300,0.507100,0.432800,0.555000,0.671100,0.641500,0.710400,0.808000,0.679100,0.385700,0.130700,0.260400,0.512100,0.754700,0.853700,0.850700,0.669200,0.609700,0.494300,0.274400,0.051000,0.283400,0.282500,0.425600,0.264100,0.138600,0.105100,0.134300,0.038300,0.032400,0.023200,0.002700,0.006500,0.015900,0.007200,0.016700,0.018000,0.008400,0.009000,0.003200,1.000000
0.045300,0.052300,0.084300,0.068900,0.118300,0.258300,0.215600,0.348100,0.333700,0.287200,0.491800,0.655200,0.691900,0.779700,0.746400,0.944400,1.000000,0.887400,0.802400,0.781800,0.521200,0.405200,0.395700,0.391400,0.325000,0.320000,0.327100,0.276700,0.442300,0.202800,0.378800,0.294700,0.198400,0.234100,0.130600,0.418200,0.383500,0.105700,0.184000,0.197000,0.167400,0.058300,0.140100,0.162800,0.062100,0.020300,0.053000,0.074200,0.040900,0.006100,0.012500,0.008400,0.008900,0.004800,0.009400,0.019100,0.014000,0.004900,0.005200,0.004400,1.000000
0.026200,0.058200,0.109900,0.108300,0.097400,0.228000,0.243100,0.377100,0.559800,0.619400,0.633300,0.706000,0.554400,0.532000,0.647900,0.693100,0.675900,0.755100,0.892900,0.861900,0.797400,0.673700,0.429300,0.364800,0.533100,0.241300,0.507000,0.853300,0.603600,0.851400,0.851200,0.504500,0.186200,0.270900,0.423200,0.304300,0.611600,0.675600,0.537500,0.471900,0.464700,0.258700,0.212900,0.222200,0.211100,0.017600,0.134800,0.074400,0.013000,0.010600,0.003300,0.023200,0.016600,0.009500,0.018000,0.024400,0.031600,0.016400,0.009500,0.007800,1.000000
0.010000,0.017100,0.062300,0.020500,0.020500,0.036800,0.109800,0.127600,0.059800,0.126400,0.088100,0.199200,0.018400,0.226100,0.172900,0.213100,0.069300,0.228100,0.406000,0.397300,0.274100,0.369000,0.555600,0.484600,0.314000,0.533400,0.525600,0.252000,0.209000,0.355900,0.626000,0.734000,0.612000,0.349700,0.395300,0.301200,0.540800,0.881400,0.985700,0.916700,0.612100,0.500600,0.321000,0.320200,0.429500,0.365400,0.265500,0.157600,0.068100,0.029400,0.024100,0.012100,0.003600,0.015000,0.008500,0.007300,0.005000,0.004400,0.004000,0.011700,1.000000
0.076200,0.066600,0.048100,0.039400,0.059000,0.064900,0.120900,0.246700,0.356400,0.445900,0.415200,0.395200,0.425600,0.413500,0.452800,0.532600,0.730600,0.619300,0.203200,0.463600,0.414800,0.429200,0.573000,0.539900,0.316100,0.228500,0.699500,1.000000,0.726200,0.472400,0.510300,0.545900,0.288100,0.098100,0.195100,0.418100,0.460400,0.321700,0.282800,0.243000,0.197900,0.244400,0.184700,0.084100,0.069200,0.052800,0.035700,0.008500,0.023000,0.004600,0.015600,0.003100,0.005400,0.010500,0.011000,0.001500,0.007200,0.004800,0.010700,0.009400,1.000000
0.028600,0.045300,0.027700,0.017400,0.038400,0.099000,0.120100,0.183300,0.210500,0.303900,0.298800,0.425000,0.634300,0.819800,1.000000,0.998800,0.950800,0.902500,0.723400,0.512200,0.207400,0.398500,0.589000,0.287200,0.204300,0.578200,0.538900,0.375000,0.341100,0.506700,0.558000,0.477800,0.329900,0.219800,0.140700,0.285600,0.380700,0.415800,0.405400,0.329600,0.270700,0.265000,0.072300,0.123800,0.119200,0.108900,0.062300,0.049400,0.026400,0.008100,0.010400,0.004500,0.001400,0.003800,0.001300,0.008900,0.005700,0.002700,0.005100,0.006200,1.000000
0.031700,0.095600,0.132100,0.140800,0.167400,0.171000,0.073100,0.140100,0.208300,0.351300,0.178600,0.065800,0.051300,0.375200,0.541900,0.544000,0.515000,0.426200,0.202400,0.423300,0.772300,0.973500,0.939000,0.555900,0.526800,0.682600,0.571300,0.542900,0.217700,0.214900,0.581100,0.632300,0.296500,0.187300,0.296900,0.516300,0.615300,0.428300,0.547900,0.613300,0.501700,0.237700,0.195700,0.174900,0.130400,0.059700,0.112400,0.104700,0.050700,0.015900,0.019500,0.020100,0.024800,0.013100,0.007000,0.013800,0.009200,0.014300,0.003600,0.010300,1.000000
0.051900,0.054800,0.084200,0.031900,0.115800,0.092200,0.102700,0.061300,0.146500,0.283800,0.280200,0.308600,0.265700,0.380100,0.562600,0.437600,0.261700,0.119900,0.667600,0.940200,0.783200,0.535200,0.680900,0.917400,0.761300,0.822000,0.887200,0.609100,0.296700,0.110300,0.131800,0.062400,0.099000,0.400600,0.366600,0.105000,0.191500,0.393000,0.428800,0.254600,0.115100,0.219600,0.187900,0.143700,0.214600,0.236000,0.112500,0.025400,0.028500,0.017800,0.005200,0.008100,0.012000,0.004500,0.012100,0.009700,0.008500,0.004700,0.004800,0.005300,1.000000
0.022300,0.037500,0.048400,0.047500,0.064700,0.059100,0.075300,0.009800,0.068400,0.148700,0.115600,0.165400,0.383300,0.359800,0.171300,0.113600,0.034900,0.379600,0.740100,0.992500,0.980200,0.889000,0.671200,0.428600,0.337400,0.736600,0.961100,0.735300,0.485600,0.159400,0.300700,0.409600,0.317000,0.330500,0.340800,0.218600,0.246300,0.272600,0.168000,0.279200,0.255800,0.174000,0.212100,0.109900,0.098500,0.127100,0.145900,0.116400,0.077700,0.043900,0.006100,0.014500,0.012800,0.014500,0.005800,0.004900,0.006500,0.009300,0.005900,0.002200,1.000000
0.016400,0.017300,0.034700,0.007000,0.018700,0.067100,0.105600,0.069700,0.096200,0.025100,0.080100,0.105600,0.126600,0.089000,0.019800,0.113300,0.282600,0.323400,0.323800,0.433300,0.606800,0.765200,0.920300,0.971900,0.920700,0.754500,0.828900,0.890700,0.730900,0.689600,0.582900,0.493500,0.310100,0.030600,0.024400,0.110800,0.159400,0.137100,0.069600,0.045200,0.062000,0.142100,0.159700,0.138400,0.037200,0.068800,0.086700,0.051300,0.009200,0.019800,0.011800,0.009000,0.022300,0.017900,0.008400,0.006800,0.003200,0.003500,0.005600,0.004000,1.000000
